id	filename	protocol	dataType	analysisType	antibody	donor	group	mnemonic	stdName	edaccName	anatomy	type	age	sex	solidLiquid	ethnicity	singledonorComposite
E001-H3K27me3	E001-H3K27me3.narrowPeak	ChIP-seq	histone	narrowPeak	H3K27me3	E001	ESC	ESC.I3	ES-I3 Cells	ES-I3_Cell_Line	ESC	PrimaryCulture	CL	Female	NA	NA	SD
E001-H3K36me3	E001-H3K36me3.narrowPeak	ChIP-seq	histone	narrowPeak	H3K36me3	E001	ESC	ESC.I3	ES-I3 Cells	ES-I3_Cell_Line	ESC	PrimaryCulture	CL	Female	NA	NA	SD
E001-H3K4me1	E001-H3K4me1.narrowPeak	ChIP-seq	histone	narrowPeak	H3K4me1	E001	ESC	ESC.I3	ES-I3 Cells	ES-I3_Cell_Line	ESC	PrimaryCulture	CL	Female	NA	NA	SD
E001-H3K4me3	E001-H3K4me3.narrowPeak	ChIP-seq	histone	narrowPeak	H3K4me3	E001	ESC	ESC.I3	ES-I3 Cells	ES-I3_Cell_Line	ESC	PrimaryCulture	CL	Female	NA	NA	SD
E001-H3K9ac	E001-H3K9ac.narrowPeak	ChIP-seq	histone	narrowPeak	H3K9ac	E001	ESC	ESC.I3	ES-I3 Cells	ES-I3_Cell_Line	ESC	PrimaryCulture	CL	Female	NA	NA	SD
E001-H3K9me3	E001-H3K9me3.narrowPeak	ChIP-seq	histone	narrowPeak	H3K9me3	E001	ESC	ESC.I3	ES-I3 Cells	ES-I3_Cell_Line	ESC	PrimaryCulture	CL	Female	NA	NA	SD
E002-H3K27me3	E002-H3K27me3.narrowPeak	ChIP-seq	histone	narrowPeak	H3K27me3	E002	ESC	ESC.WA7	ES-WA7 Cells	ES-WA7_Cell_Line	ESC	PrimaryCulture	CL	Female	NA	NA	SD
E002-H3K36me3	E002-H3K36me3.narrowPeak	ChIP-seq	histone	narrowPeak	H3K36me3	E002	ESC	ESC.WA7	ES-WA7 Cells	ES-WA7_Cell_Line	ESC	PrimaryCulture	CL	Female	NA	NA	SD
E002-H3K4me1	E002-H3K4me1.narrowPeak	ChIP-seq	histone	narrowPeak	H3K4me1	E002	ESC	ESC.WA7	ES-WA7 Cells	ES-WA7_Cell_Line	ESC	PrimaryCulture	CL	Female	NA	NA	SD
E002-H3K4me3	E002-H3K4me3.narrowPeak	ChIP-seq	histone	narrowPeak	H3K4me3	E002	ESC	ESC.WA7	ES-WA7 Cells	ES-WA7_Cell_Line	ESC	PrimaryCulture	CL	Female	NA	NA	SD
